Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C3, C5, C7",0805,4,10 uF,C15850
"C11, C4, C6, C8",0603,4,0.1 uF,C14663
C9,0402,1,1 uF,C52923
D1,D_SMB,1,P6SMB6.8CA/TR13,C78395
D4,D_SOD-323,1,1N5819WS,C191023
D7,0603,1,LED,C2286
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,C19274016
R1,0805,1,47,C17714
R2,0402,1,220,C25091
R3,0402,1,330,C25104
"R4, R6",0402,2,10K,C25744
"R7, R8",0603,2,5.1K,C23186
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,C318884
TP1,TestPoint_Pad_D3.0mm,1,3V3,
TP2,TestPoint_Pad_D3.0mm,1,GND,
TP3,TestPoint_Pad_D3.0mm,1,EN,
TP4,TestPoint_Pad_D3.0mm,1,BOOT,
TP5,TestPoint_Pad_D3.0mm,1,D+,
TP6,TestPoint_Pad_D3.0mm,1,D-,
U1,ESP32-S2-MINI-1,1,ESP32-S2-MINI-1,C3013906
U3,SOT-23-3,1,XC6206P332MR,C5446
